TAXI_TYPE,PICKUP_AT,DROPOFF_AT,PICKUP_YEAR,PICKUP_MONTH,PICKUP_DAYOFWEEK,PICKUP_HOUR,IS_NIGHT,IS_WEEKEND,IS_RUSH_HOUR,TRIP_DURATION_MINUTES,TRIP_DISTANCE,PASSENGER_COUNT,PAYMENT_TYPE,FARE_AMOUNT,EXTRA,MTA_TAX,TIP_AMOUNT,TOLLS_AMOUNT,IMPROVEMENT_SURCHARGE,CONGESTION_SURCHARGE,CBD_CONGESTION_FEE,AIRPORT_FEE,TOTAL_AMOUNT,PICKUP_ZONE_ID,DROPOFF_ZONE_ID,PICKUP_BOROUGH,PICKUP_ZONE_NAME,DROPOFF_BOROUGH,DROPOFF_ZONE_NAME,WEATHER_CATEGORY,IS_ADVERSE_WEATHER,TEMPERATURE_F,PRECIPITATION_INCH,WIND_SPEED_MPH
yellow,2025-01-31 17:57:24,2025-01-31 18:17:00,2025,1,5,17,False,False,True,20,2.6,,Unknown,26.3,0.0,0.5,0.0,0.0,1.0,,0.75,,31.05,249,230,Manhattan,West Village,Manhattan,Times Sq/Theatre District,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:12:17,2025-01-31 17:18:21,2025,1,5,17,False,False,True,6,1.1,,Unknown,7.22,0.0,0.5,0.0,0.0,1.0,,0.0,,11.22,239,238,Manhattan,Upper West Side South,Manhattan,Upper West Side North,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:50:53,2025-01-31 18:00:49,2025,1,5,17,False,False,True,10,1.1,,Unknown,10.48,0.0,0.5,0.0,0.0,1.0,,0.75,,15.23,162,100,Manhattan,Midtown East,Manhattan,Garment District,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:24:19,2025-01-31 17:47:29,2025,1,5,17,False,False,True,23,4.3,,Unknown,24.72,0.0,0.5,0.0,0.0,1.0,,0.75,,29.47,238,233,Manhattan,Upper West Side North,Manhattan,UN/Turtle Bay South,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:58:00,2025-01-31 18:50:01,2025,1,5,17,False,False,True,52,13.58,,Unknown,57.2,0.0,0.5,0.0,0.0,1.0,,0.0,,58.7,193,14,Queens,Queensbridge/Ravenswood,Brooklyn,Bay Ridge,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:55:21,2025-01-31 18:16:27,2025,1,5,17,False,False,True,21,0.0,,Unknown,25.02,0.0,0.5,0.0,0.0,1.0,,0.75,,29.77,107,262,Manhattan,Gramercy,Manhattan,Yorkville East,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:03:10,2025-01-31 17:12:29,2025,1,5,17,False,False,True,9,0.01,,Unknown,10.42,0.0,0.5,0.0,0.0,1.0,,0.0,,14.42,151,236,Manhattan,Manhattan Valley,Manhattan,Upper East Side North,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:44:20,2025-01-31 17:53:25,2025,1,5,17,False,False,True,9,0.0,,Unknown,14.57,0.0,0.5,0.0,0.0,1.0,,0.75,,19.32,158,13,Manhattan,Meatpacking/West Village West,Manhattan,Battery Park City,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:59:36,2025-01-31 18:26:51,2025,1,5,17,False,False,True,27,0.0,,Unknown,31.29,0.0,0.5,0.0,0.0,1.0,,0.75,,36.04,13,238,Manhattan,Battery Park City,Manhattan,Upper West Side North,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:59:35,2025-01-31 18:07:59,2025,1,5,17,False,False,True,8,0.0,,Unknown,18.23,0.0,0.5,0.0,0.0,1.0,,0.75,,22.98,237,236,Manhattan,Upper East Side South,Manhattan,Upper East Side North,Drizzle,False,39.8,0.004,3.1
